comparison_id	method	fg_combination_id	fg_combination_occurrence	bg_strategy	fg_species	bg_species
020	caas	FG017	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Eulemur_fulvus,Eulemur_macaco,Lemur_catta	Alouatta_seniculus,Macaca_thibetana,Mico_humeralifer,Trachypithecus_pileatus
021	caas	FG013	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Cercocebus_torquatus,Eulemur_fulvus,Nomascus_concolor	Alouatta_seniculus,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer
022	caas	FG021	1	sampled_4_from_BG_pool	Ateles_geoffroyi,Cercocebus_torquatus,Eulemur_fulvus,Eulemur_macaco	Alouatta_seniculus,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
023	caas	FG018	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Eulemur_fulvus,Eulemur_macaco,Nomascus_concolor	Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer
024	caas	FG029	1	sampled_4_from_BG_pool	Ateles_geoffroyi,Eulemur_fulvus,Lemur_catta,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Mico_humeralifer
025	caas	FG031	1	sampled_4_from_BG_pool	Cercocebus_torquatus,Eulemur_fulvus,Eulemur_macaco,Lemur_catta	Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer
026	caas	FG021	1	sampled_4_from_BG_pool	Ateles_geoffroyi,Cercocebus_torquatus,Eulemur_fulvus,Eulemur_macaco	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Trachypithecus_pileatus
027	caas	FG009	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Ateles_geoffroyi,Eulemur_macaco,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Trachypithecus_pileatus
028	caas	FG011	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Cercocebus_torquatus,Eulemur_fulvus,Eulemur_macaco	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana
029	caas	FG010	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Ateles_geoffroyi,Lemur_catta,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Trachypithecus_pileatus
030	caas	FG029	1	sampled_4_from_BG_pool	Ateles_geoffroyi,Eulemur_fulvus,Lemur_catta,Nomascus_concolor	Alouatta_seniculus,Macaca_thibetana,Mico_humeralifer,Trachypithecus_pileatus
031	caas	FG033	1	sampled_4_from_BG_pool	Cercocebus_torquatus,Eulemur_fulvus,Lemur_catta,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_tonkeana,Mico_humeralifer
032	caas	FG020	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Eulemur_macaco,Lemur_catta,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Mico_humeralifer,Trachypithecus_pileatus
033	caas	FG027	1	sampled_4_from_BG_pool	Ateles_geoffroyi,Eulemur_fulvus,Eulemur_macaco,Lemur_catta	Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer
034	caas	FG005	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Ateles_geoffroyi,Eulemur_fulvus,Eulemur_macaco	Eulemur_rubriventer,Macaca_thibetana,Mico_humeralifer,Trachypithecus_pileatus
035	caas	FG002	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Ateles_geoffroyi,Cercocebus_torquatus,Eulemur_macaco	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Trachypithecus_pileatus
036	caas	FG003	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Ateles_geoffroyi,Cercocebus_torquatus,Lemur_catta	Eulemur_rubriventer,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
037	caas	FG030	1	sampled_4_from_BG_pool	Ateles_geoffroyi,Eulemur_macaco,Lemur_catta,Nomascus_concolor	Alouatta_seniculus,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer
038	caas	FG017	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Eulemur_fulvus,Eulemur_macaco,Lemur_catta	Alouatta_seniculus,Macaca_thibetana,Macaca_tonkeana,Trachypithecus_pileatus
039	caas	FG001	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Ateles_geoffroyi,Cercocebus_torquatus,Eulemur_fulvus	Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer
040	caas	FG013	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Cercocebus_torquatus,Eulemur_fulvus,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_tonkeana,Trachypithecus_pileatus
041	caas	FG031	1	sampled_4_from_BG_pool	Cercocebus_torquatus,Eulemur_fulvus,Eulemur_macaco,Lemur_catta	Alouatta_seniculus,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
042	caas	FG011	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Cercocebus_torquatus,Eulemur_fulvus,Eulemur_macaco	Eulemur_rubriventer,Macaca_thibetana,Mico_humeralifer,Trachypithecus_pileatus
043	caas	FG031	1	sampled_4_from_BG_pool	Cercocebus_torquatus,Eulemur_fulvus,Eulemur_macaco,Lemur_catta	Alouatta_seniculus,Macaca_thibetana,Macaca_tonkeana,Trachypithecus_pileatus
044	caas	FG022	1	sampled_4_from_BG_pool	Ateles_geoffroyi,Cercocebus_torquatus,Eulemur_fulvus,Lemur_catta	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana
045	caas	FG008	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Ateles_geoffroyi,Eulemur_macaco,Lemur_catta	Alouatta_seniculus,Macaca_thibetana,Mico_humeralifer,Trachypithecus_pileatus
046	caas	FG004	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Ateles_geoffroyi,Cercocebus_torquatus,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Mico_humeralifer
047	caas	FG017	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Eulemur_fulvus,Eulemur_macaco,Lemur_catta	Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
048	caas	FG019	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Eulemur_fulvus,Lemur_catta,Nomascus_concolor	Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Trachypithecus_pileatus
049	caas	FG029	1	sampled_4_from_BG_pool	Ateles_geoffroyi,Eulemur_fulvus,Lemur_catta,Nomascus_concolor	Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer
050	caas	FG033	1	sampled_4_from_BG_pool	Cercocebus_torquatus,Eulemur_fulvus,Lemur_catta,Nomascus_concolor	Alouatta_seniculus,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer
051	caas	FG007	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Ateles_geoffroyi,Eulemur_fulvus,Nomascus_concolor	Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Trachypithecus_pileatus
052	caas	FG029	1	sampled_4_from_BG_pool	Ateles_geoffroyi,Eulemur_fulvus,Lemur_catta,Nomascus_concolor	Alouatta_seniculus,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer
053	caas	FG006	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Ateles_geoffroyi,Eulemur_fulvus,Lemur_catta	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana
054	caas	FG035	1	sampled_4_from_BG_pool	Eulemur_fulvus,Eulemur_macaco,Lemur_catta,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana
055	caas	FG031	1	sampled_4_from_BG_pool	Cercocebus_torquatus,Eulemur_fulvus,Eulemur_macaco,Lemur_catta	Eulemur_rubriventer,Macaca_thibetana,Mico_humeralifer,Trachypithecus_pileatus
056	caas	FG002	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Ateles_geoffroyi,Cercocebus_torquatus,Eulemur_macaco	Alouatta_seniculus,Eulemur_rubriventer,Macaca_tonkeana,Mico_humeralifer
057	caas	FG010	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Ateles_geoffroyi,Lemur_catta,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_tonkeana,Mico_humeralifer
058	caas	FG025	1	sampled_4_from_BG_pool	Ateles_geoffroyi,Cercocebus_torquatus,Eulemur_macaco,Nomascus_concolor	Eulemur_rubriventer,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
059	caas	FG033	1	sampled_4_from_BG_pool	Cercocebus_torquatus,Eulemur_fulvus,Lemur_catta,Nomascus_concolor	Alouatta_seniculus,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
060	caas	FG019	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Eulemur_fulvus,Lemur_catta,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_tonkeana,Trachypithecus_pileatus
061	caas	FG005	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Ateles_geoffroyi,Eulemur_fulvus,Eulemur_macaco	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Mico_humeralifer
062	caas	FG032	1	sampled_4_from_BG_pool	Cercocebus_torquatus,Eulemur_fulvus,Eulemur_macaco,Nomascus_concolor	Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Trachypithecus_pileatus
063	caas	FG021	1	sampled_4_from_BG_pool	Ateles_geoffroyi,Cercocebus_torquatus,Eulemur_fulvus,Eulemur_macaco	Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
064	caas	FG027	1	sampled_4_from_BG_pool	Ateles_geoffroyi,Eulemur_fulvus,Eulemur_macaco,Lemur_catta	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Trachypithecus_pileatus
065	caas	FG026	1	sampled_4_from_BG_pool	Ateles_geoffroyi,Cercocebus_torquatus,Lemur_catta,Nomascus_concolor	Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Trachypithecus_pileatus
066	caas	FG010	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Ateles_geoffroyi,Lemur_catta,Nomascus_concolor	Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
067	caas	FG025	1	sampled_4_from_BG_pool	Ateles_geoffroyi,Cercocebus_torquatus,Eulemur_macaco,Nomascus_concolor	Alouatta_seniculus,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
068	caas	FG001	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Ateles_geoffroyi,Cercocebus_torquatus,Eulemur_fulvus	Alouatta_seniculus,Eulemur_rubriventer,Macaca_tonkeana,Mico_humeralifer
069	caas	FG013	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Cercocebus_torquatus,Eulemur_fulvus,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Mico_humeralifer
070	caas	FG023	1	sampled_4_from_BG_pool	Ateles_geoffroyi,Cercocebus_torquatus,Eulemur_fulvus,Nomascus_concolor	Alouatta_seniculus,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
071	caas	FG013	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Cercocebus_torquatus,Eulemur_fulvus,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Trachypithecus_pileatus
072	caas	FG015	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Cercocebus_torquatus,Eulemur_macaco,Nomascus_concolor	Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Trachypithecus_pileatus
073	caas	FG024	1	sampled_4_from_BG_pool	Ateles_geoffroyi,Cercocebus_torquatus,Eulemur_macaco,Lemur_catta	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Trachypithecus_pileatus
074	caas	FG035	1	sampled_4_from_BG_pool	Eulemur_fulvus,Eulemur_macaco,Lemur_catta,Nomascus_concolor	Alouatta_seniculus,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
075	caas	FG028	1	sampled_4_from_BG_pool	Ateles_geoffroyi,Eulemur_fulvus,Eulemur_macaco,Nomascus_concolor	Alouatta_seniculus,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer
076	caas	FG009	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Ateles_geoffroyi,Eulemur_macaco,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_tonkeana,Trachypithecus_pileatus
077	caas	FG011	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Cercocebus_torquatus,Eulemur_fulvus,Eulemur_macaco	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Trachypithecus_pileatus
078	caas	FG021	1	sampled_4_from_BG_pool	Ateles_geoffroyi,Cercocebus_torquatus,Eulemur_fulvus,Eulemur_macaco	Alouatta_seniculus,Eulemur_rubriventer,Macaca_tonkeana,Mico_humeralifer
079	caas	FG033	1	sampled_4_from_BG_pool	Cercocebus_torquatus,Eulemur_fulvus,Lemur_catta,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Mico_humeralifer,Trachypithecus_pileatus
080	caas	FG031	1	sampled_4_from_BG_pool	Cercocebus_torquatus,Eulemur_fulvus,Eulemur_macaco,Lemur_catta	Alouatta_seniculus,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer
081	caas	FG029	1	sampled_4_from_BG_pool	Ateles_geoffroyi,Eulemur_fulvus,Lemur_catta,Nomascus_concolor	Eulemur_rubriventer,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
082	caas	FG021	1	sampled_4_from_BG_pool	Ateles_geoffroyi,Cercocebus_torquatus,Eulemur_fulvus,Eulemur_macaco	Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer
083	caas	FG027	1	sampled_4_from_BG_pool	Ateles_geoffroyi,Eulemur_fulvus,Eulemur_macaco,Lemur_catta	Alouatta_seniculus,Macaca_thibetana,Macaca_tonkeana,Trachypithecus_pileatus
084	caas	FG015	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Cercocebus_torquatus,Eulemur_macaco,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Mico_humeralifer,Trachypithecus_pileatus
085	caas	FG015	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Cercocebus_torquatus,Eulemur_macaco,Nomascus_concolor	Alouatta_seniculus,Macaca_thibetana,Macaca_tonkeana,Trachypithecus_pileatus
086	caas	FG019	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Eulemur_fulvus,Lemur_catta,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana
087	caas	FG018	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Eulemur_fulvus,Eulemur_macaco,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Mico_humeralifer,Trachypithecus_pileatus
088	caas	FG025	1	sampled_4_from_BG_pool	Ateles_geoffroyi,Cercocebus_torquatus,Eulemur_macaco,Nomascus_concolor	Alouatta_seniculus,Macaca_thibetana,Mico_humeralifer,Trachypithecus_pileatus
089	caas	FG027	1	sampled_4_from_BG_pool	Ateles_geoffroyi,Eulemur_fulvus,Eulemur_macaco,Lemur_catta	Alouatta_seniculus,Eulemur_rubriventer,Macaca_tonkeana,Mico_humeralifer
090	caas	FG002	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Ateles_geoffroyi,Cercocebus_torquatus,Eulemur_macaco	Alouatta_seniculus,Macaca_thibetana,Macaca_tonkeana,Trachypithecus_pileatus
091	caas	FG001	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Ateles_geoffroyi,Cercocebus_torquatus,Eulemur_fulvus	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana
092	caas	FG033	1	sampled_4_from_BG_pool	Cercocebus_torquatus,Eulemur_fulvus,Lemur_catta,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana
093	caas	FG019	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Eulemur_fulvus,Lemur_catta,Nomascus_concolor	Eulemur_rubriventer,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
094	caas	FG014	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Cercocebus_torquatus,Eulemur_macaco,Lemur_catta	Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
095	caas	FG028	1	sampled_4_from_BG_pool	Ateles_geoffroyi,Eulemur_fulvus,Eulemur_macaco,Nomascus_concolor	Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Trachypithecus_pileatus
096	caas	FG002	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Ateles_geoffroyi,Cercocebus_torquatus,Eulemur_macaco	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana
097	caas	FG018	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Eulemur_fulvus,Eulemur_macaco,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Mico_humeralifer
098	caas	FG005	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Ateles_geoffroyi,Eulemur_fulvus,Eulemur_macaco	Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Trachypithecus_pileatus
099	caas	FG011	1	sampled_4_from_BG_pool	Aotus_trivirgatus,Cercocebus_torquatus,Eulemur_fulvus,Eulemur_macaco	Alouatta_seniculus,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
100	caas	FG025	1	sampled_4_from_BG_pool	Ateles_geoffroyi,Cercocebus_torquatus,Eulemur_macaco,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Mico_humeralifer,Trachypithecus_pileatus
001	rerconverge	FG018	1	fixed_complete_BG_pool	Aotus_trivirgatus,Eulemur_fulvus,Eulemur_macaco,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
002	rerconverge	FG020	1	fixed_complete_BG_pool	Aotus_trivirgatus,Eulemur_macaco,Lemur_catta,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
003	rerconverge	FG028	1	fixed_complete_BG_pool	Ateles_geoffroyi,Eulemur_fulvus,Eulemur_macaco,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
004	rerconverge	FG011	1	fixed_complete_BG_pool	Aotus_trivirgatus,Cercocebus_torquatus,Eulemur_fulvus,Eulemur_macaco	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
005	rerconverge	FG001	1	fixed_complete_BG_pool	Aotus_trivirgatus,Ateles_geoffroyi,Cercocebus_torquatus,Eulemur_fulvus	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
006	rerconverge	FG019	1	fixed_complete_BG_pool	Aotus_trivirgatus,Eulemur_fulvus,Lemur_catta,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
007	rerconverge	FG024	1	fixed_complete_BG_pool	Ateles_geoffroyi,Cercocebus_torquatus,Eulemur_macaco,Lemur_catta	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
008	rerconverge	FG010	1	fixed_complete_BG_pool	Aotus_trivirgatus,Ateles_geoffroyi,Lemur_catta,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
009	rerconverge	FG015	1	fixed_complete_BG_pool	Aotus_trivirgatus,Cercocebus_torquatus,Eulemur_macaco,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
010	rerconverge	FG004	1	fixed_complete_BG_pool	Aotus_trivirgatus,Ateles_geoffroyi,Cercocebus_torquatus,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
011	rerconverge	FG022	1	fixed_complete_BG_pool	Ateles_geoffroyi,Cercocebus_torquatus,Eulemur_fulvus,Lemur_catta	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
012	rerconverge	FG014	1	fixed_complete_BG_pool	Aotus_trivirgatus,Cercocebus_torquatus,Eulemur_macaco,Lemur_catta	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
013	rerconverge	FG012	1	fixed_complete_BG_pool	Aotus_trivirgatus,Cercocebus_torquatus,Eulemur_fulvus,Lemur_catta	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
014	rerconverge	FG005	1	fixed_complete_BG_pool	Aotus_trivirgatus,Ateles_geoffroyi,Eulemur_fulvus,Eulemur_macaco	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
015	rerconverge	FG021	1	fixed_complete_BG_pool	Ateles_geoffroyi,Cercocebus_torquatus,Eulemur_fulvus,Eulemur_macaco	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
016	rerconverge	FG032	1	fixed_complete_BG_pool	Cercocebus_torquatus,Eulemur_fulvus,Eulemur_macaco,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
017	rerconverge	FG025	1	fixed_complete_BG_pool	Ateles_geoffroyi,Cercocebus_torquatus,Eulemur_macaco,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
018	rerconverge	FG033	1	fixed_complete_BG_pool	Cercocebus_torquatus,Eulemur_fulvus,Lemur_catta,Nomascus_concolor	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
019	rerconverge	FG017	1	fixed_complete_BG_pool	Aotus_trivirgatus,Eulemur_fulvus,Eulemur_macaco,Lemur_catta	Alouatta_seniculus,Eulemur_rubriventer,Macaca_thibetana,Macaca_tonkeana,Mico_humeralifer,Trachypithecus_pileatus
